U xi T_e I1 I2 I3 I4 I5 I6 I7 I8
1.042679e+02 9.221183e+03 1.000000e+04 8.93e-24 8.93e-24 4.48e-17 1.45e-12 1.08e-08 4.81e-05 1.50e-02 9.85e-01
1.605648e+02 1.419994e+04 1.000000e+04 4.78e-20 2.31e-19 6.25e-18 2.59e-13 2.98e-09 2.04e-05 9.79e-03 9.90e-01
2.472581e+02 2.186687e+04 1.000000e+04 8.93e-24 8.93e-24 5.48e-20 4.63e-14 8.18e-10 8.63e-06 6.38e-03 9.94e-01
3.807592e+02 3.367337e+04 1.000000e+04 8.93e-24 8.93e-24 8.93e-24 8.25e-15 2.25e-10 3.65e-06 4.15e-03 9.96e-01
5.863412e+02 5.185452e+04 1.000000e+04 4.86e-21 2.35e-20 1.12e-19 1.47e-15 6.16e-11 1.54e-06 2.70e-03 9.97e-01
9.029224e+02 7.985215e+04 1.000000e+04 4.58e-20 2.21e-19 9.82e-19 2.66e-16 1.69e-11 6.50e-07 1.76e-03 9.98e-01
1.390434e+03 1.229664e+05 1.000000e+04 1.13e-20 5.47e-20 2.42e-19 4.75e-17 4.63e-12 2.74e-07 1.14e-03 9.99e-01
2.141167e+03 1.893593e+05 1.000000e+04 6.98e-21 3.37e-20 1.49e-19 8.88e-18 1.27e-12 1.16e-07 7.41e-04 9.99e-01
3.297239e+03 2.915994e+05 1.000000e+04 8.93e-24 8.93e-24 8.93e-24 7.70e-19 3.47e-13 4.88e-08 4.81e-04 1.00e+00
5.077506e+03 4.490417e+05 1.000000e+04 8.93e-24 8.93e-24 8.93e-24 2.62e-19 9.51e-14 2.06e-08 3.13e-04 1.00e+00
7.818986e+03 6.914912e+05 1.000000e+04 8.93e-24 8.93e-24 8.93e-24 4.66e-20 2.60e-14 8.69e-09 2.03e-04 1.00e+00
1.204066e+04 1.064846e+06 1.000000e+04 8.93e-24 8.93e-24 8.93e-24 8.30e-21 7.13e-15 3.66e-09 1.32e-04 1.00e+00
1.854174e+04 1.639784e+06 1.000000e+04 8.93e-24 8.93e-24 8.93e-24 1.45e-21 1.95e-15 1.54e-09 8.56e-05 1.00e+00
2.855291e+04 2.525147e+06 1.000000e+04 8.93e-24 8.93e-24 8.93e-24 2.68e-22 5.35e-16 6.51e-10 5.56e-05 1.00e+00
4.396939e+04 3.888541e+06 1.000000e+04 8.93e-24 8.93e-24 8.93e-24 2.27e-23 1.47e-16 2.75e-10 3.61e-05 1.00e+00
6.770963e+04 5.988067e+06 1.000000e+04 8.93e-24 8.93e-24 8.93e-24 8.93e-24 4.01e-17 1.16e-10 2.35e-05 1.00e+00
1.042679e+05 9.221183e+06 1.000000e+04 8.93e-24 8.93e-24 8.93e-24 2.17e-23 1.10e-17 4.88e-11 1.52e-05 1.00e+00
