U xi T_e I1 I2 I3 I4 I5 I6 I7
3.297239e+00 2.915994e+02 1.000000e+04 3.15e-18 1.03e-12 1.56e-08 1.05e-05 5.43e-03 1.58e-01 8.37e-01
5.077506e+00 4.490417e+02 1.000000e+04 2.76e-24 1.27e-13 2.94e-09 3.06e-06 2.43e-03 1.09e-01 8.89e-01
7.818986e+00 6.914912e+02 1.000000e+04 2.76e-24 1.52e-14 5.45e-10 8.73e-07 1.07e-03 7.37e-02 9.25e-01
1.204066e+01 1.064846e+03 1.000000e+04 2.76e-24 1.80e-15 9.96e-11 2.46e-07 4.63e-04 4.92e-02 9.50e-01
1.854174e+01 1.639784e+03 1.000000e+04 6.25e-19 2.18e-16 1.80e-11 6.85e-08 1.99e-04 3.25e-02 9.67e-01
2.855291e+01 2.525147e+03 1.000000e+04 2.76e-24 2.33e-17 3.25e-12 1.90e-08 8.49e-05 2.14e-02 9.79e-01
4.396939e+01 3.888541e+03 1.000000e+04 2.76e-24 9.22e-19 5.82e-13 5.24e-09 3.61e-05 1.40e-02 9.86e-01
6.770963e+01 5.988067e+03 1.000000e+04 2.76e-24 2.76e-24 1.04e-13 1.44e-09 1.53e-05 9.12e-03 9.91e-01
1.042679e+02 9.221183e+03 1.000000e+04 2.76e-24 2.76e-24 1.86e-14 3.96e-10 6.47e-06 5.94e-03 9.94e-01
1.605648e+02 1.419994e+04 1.000000e+04 5.40e-21 4.67e-20 3.31e-15 1.09e-10 2.73e-06 3.87e-03 9.96e-01
2.472581e+02 2.186687e+04 1.000000e+04 3.50e-20 2.73e-19 5.91e-16 2.98e-11 1.15e-06 2.52e-03 9.97e-01
3.807592e+02 3.367337e+04 1.000000e+04 1.33e-20 1.04e-19 1.05e-16 8.18e-12 4.87e-07 1.64e-03 9.98e-01
5.863412e+02 5.185452e+04 1.000000e+04 2.76e-24 2.76e-24 1.67e-17 2.24e-12 2.06e-07 1.06e-03 9.99e-01
9.029224e+02 7.985215e+04 1.000000e+04 1.13e-20 8.79e-20 3.86e-18 6.14e-13 8.68e-08 6.90e-04 9.99e-01
1.390434e+03 1.229664e+05 1.000000e+04 2.76e-24 2.76e-24 3.27e-19 1.68e-13 3.66e-08 4.48e-04 1.00e+00
2.141167e+03 1.893593e+05 1.000000e+04 2.76e-24 2.76e-24 2.76e-24 4.61e-14 1.54e-08 2.91e-04 1.00e+00
3.297239e+03 2.915994e+05 1.000000e+04 2.76e-24 2.76e-24 1.86e-20 1.26e-14 6.51e-09 1.89e-04 1.00e+00
5.077506e+03 4.490417e+05 1.000000e+04 2.76e-24 2.76e-24 3.32e-21 3.45e-15 2.75e-09 1.23e-04 1.00e+00
7.818986e+03 6.914912e+05 1.000000e+04 2.76e-24 2.76e-24 6.04e-22 9.46e-16 1.16e-09 7.98e-05 1.00e+00
1.204066e+04 1.064846e+06 1.000000e+04 2.76e-24 2.76e-24 8.23e-23 2.59e-16 4.88e-10 5.18e-05 1.00e+00
1.854174e+04 1.639784e+06 1.000000e+04 2.76e-24 6.83e-24 6.03e-23 7.09e-17 2.06e-10 3.36e-05 1.00e+00
2.855291e+04 2.525147e+06 1.000000e+04 2.76e-24 4.46e-24 3.05e-23 1.94e-17 8.68e-11 2.18e-05 1.00e+00
4.396939e+04 3.888541e+06 1.000000e+04 2.76e-24 2.76e-24 2.76e-24 5.32e-18 3.66e-11 1.42e-05 1.00e+00
6.770963e+04 5.988067e+06 1.000000e+04 2.76e-24 2.76e-24 2.76e-24 1.46e-18 1.54e-11 9.21e-06 1.00e+00
1.042679e+05 9.221183e+06 1.000000e+04 2.76e-24 2.76e-24 2.76e-24 3.99e-19 6.51e-12 5.98e-06 1.00e+00
