U xi T_e I1 I2 I3 I4 I5 I6 I7 I8 I9
1.042679e-01 9.221183e+00 1.000000e+04 1.53e-12 7.77e-08 1.11e-04 9.86e-03 6.87e-02 3.28e-01 5.26e-01 6.58e-02 1.93e-03
1.605648e-01 1.419994e+01 1.000000e+04 1.34e-13 1.04e-08 2.29e-05 3.13e-03 3.36e-02 2.46e-01 5.97e-01 1.15e-01 5.20e-03
2.472581e-01 2.186687e+01 1.000000e+04 1.05e-14 1.27e-09 4.28e-06 9.02e-04 1.49e-02 1.67e-01 6.20e-01 1.84e-01 1.28e-02
3.807592e-01 3.367337e+01 1.000000e+04 9.53e-16 1.41e-10 7.32e-07 2.38e-04 6.04e-03 1.04e-01 5.91e-01 2.70e-01 2.89e-02
5.863412e-01 5.185452e+01 1.000000e+04 7.75e-17 1.43e-11 1.14e-07 5.72e-05 2.24e-03 5.94e-02 5.16e-01 3.63e-01 5.98e-02
9.029224e-01 7.985215e+01 1.000000e+04 6.64e-17 1.32e-12 1.63e-08 1.25e-05 7.54e-04 3.08e-02 4.11e-01 4.45e-01 1.13e-01
1.390434e+00 1.229664e+02 1.000000e+04 2.57e-17 1.11e-13 2.10e-09 2.49e-06 2.31e-04 1.45e-02 2.97e-01 4.95e-01 1.93e-01
2.141167e+00 1.893593e+02 1.000000e+04 1.18e-24 8.32e-15 2.45e-10 4.47e-07 6.38e-05 6.18e-03 1.95e-01 4.99e-01 3.00e-01
3.297239e+00 2.915994e+02 1.000000e+04 4.67e-19 5.80e-16 2.60e-11 7.30e-08 1.61e-05 2.39e-03 1.16e-01 4.58e-01 4.24e-01
5.077506e+00 4.490417e+02 1.000000e+04 9.53e-18 7.50e-17 2.54e-12 1.10e-08 3.71e-06 8.51e-04 6.34e-02 3.86e-01 5.50e-01
7.818986e+00 6.914912e+02 1.000000e+04 1.18e-24 1.18e-24 2.30e-13 1.53e-09 7.98e-07 2.82e-04 3.23e-02 3.03e-01 6.65e-01
1.204066e+01 1.064846e+03 1.000000e+04 1.18e-24 1.18e-24 1.97e-14 2.02e-10 1.62e-07 8.83e-05 1.56e-02 2.25e-01 7.60e-01
1.854174e+01 1.639784e+03 1.000000e+04 1.18e-24 1.18e-24 1.61e-15 2.56e-11 3.17e-08 2.65e-05 7.21e-03 1.60e-01 8.33e-01
2.855291e+01 2.525147e+03 1.000000e+04 1.18e-24 1.18e-24 8.58e-17 3.15e-12 5.99e-09 7.73e-06 3.24e-03 1.11e-01 8.86e-01
4.396939e+01 3.888541e+03 1.000000e+04 7.23e-19 2.91e-18 2.07e-17 3.80e-13 1.11e-09 2.21e-06 1.42e-03 7.49e-02 9.24e-01
6.770963e+01 5.988067e+03 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 4.50e-14 2.03e-10 6.21e-07 6.17e-04 5.00e-02 9.49e-01
1.042679e+02 9.221183e+03 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 5.27e-15 3.68e-11 1.73e-07 2.65e-04 3.30e-02 9.67e-01
1.605648e+02 1.419994e+04 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 6.14e-16 6.62e-12 4.80e-08 1.13e-04 2.17e-02 9.78e-01
2.472581e+02 2.186687e+04 1.000000e+04 9.16e-20 3.69e-19 1.33e-18 7.64e-17 1.19e-12 1.33e-08 4.80e-05 1.42e-02 9.86e-01
3.807592e+02 3.367337e+04 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 6.14e-18 2.12e-13 3.65e-09 2.04e-05 9.27e-03 9.91e-01
5.863412e+02 5.185452e+04 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 7.34e-19 3.79e-14 1.00e-09 8.61e-06 6.04e-03 9.94e-01
9.029224e+02 7.985215e+04 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 1.18e-24 6.75e-15 2.75e-10 3.64e-06 3.93e-03 9.96e-01
1.390434e+03 1.229664e+05 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 1.18e-24 1.20e-15 7.54e-11 1.54e-06 2.56e-03 9.97e-01
2.141167e+03 1.893593e+05 1.000000e+04 1.29e-20 5.18e-20 1.87e-19 6.10e-19 2.16e-16 2.07e-11 6.49e-07 1.66e-03 9.98e-01
3.297239e+03 2.915994e+05 1.000000e+04 1.16e-22 4.69e-22 1.70e-21 5.68e-21 3.81e-17 5.67e-12 2.74e-07 1.08e-03 9.99e-01
5.077506e+03 4.490417e+05 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 1.18e-24 5.24e-18 1.55e-12 1.15e-07 7.02e-04 9.99e-01
7.818986e+03 6.914912e+05 1.000000e+04 2.25e-21 9.06e-21 3.27e-20 1.06e-19 1.55e-18 4.25e-13 4.87e-08 4.56e-04 1.00e+00
1.204066e+04 1.064846e+06 1.000000e+04 2.01e-24 8.09e-24 2.92e-23 9.53e-23 2.15e-19 1.16e-13 2.05e-08 2.96e-04 1.00e+00
1.854174e+04 1.639784e+06 1.000000e+04 3.01e-24 1.21e-23 4.38e-23 1.42e-22 3.86e-20 3.19e-14 8.66e-09 1.92e-04 1.00e+00
2.855291e+04 2.525147e+06 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 1.18e-24 6.71e-21 8.73e-15 3.65e-09 1.25e-04 1.00e+00
4.396939e+04 3.888541e+06 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 1.18e-24 1.04e-21 2.39e-15 1.54e-09 8.11e-05 1.00e+00
6.770963e+04 5.988067e+06 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 1.18e-24 1.33e-22 6.55e-16 6.50e-10 5.26e-05 1.00e+00
1.042679e+05 9.221183e+06 1.000000e+04 1.18e-24 1.18e-24 1.18e-24 1.18e-24 3.63e-23 1.79e-16 2.74e-10 3.42e-05 1.00e+00
