U xi T_e total photo ff compton ind_comp lines auger
1.204066e+01 1.064846e+03 1.000000e+04 1.54e-05 1.53e-05 1.21e-13 7.09e-11 3.37e-18 0.00e+00 8.72e-08
1.854174e+01 1.639784e+03 1.000000e+04 2.37e-05 2.36e-05 1.86e-13 1.09e-10 5.19e-18 0.00e+00 1.34e-07
2.855291e+01 2.525147e+03 1.000000e+04 3.65e-05 3.63e-05 2.86e-13 1.68e-10 7.99e-18 0.00e+00 2.07e-07
4.396939e+01 3.888541e+03 1.000000e+04 5.62e-05 5.59e-05 4.41e-13 2.59e-10 1.23e-17 0.00e+00 3.18e-07
6.770963e+01 5.988067e+03 1.000000e+04 8.66e-05 8.61e-05 6.79e-13 3.99e-10 1.89e-17 0.00e+00 4.90e-07
1.042679e+02 9.221183e+03 1.000000e+04 1.33e-04 1.33e-04 1.05e-12 6.14e-10 2.92e-17 0.00e+00 7.55e-07
1.605648e+02 1.419994e+04 1.000000e+04 2.05e-04 2.04e-04 1.61e-12 9.46e-10 4.49e-17 0.00e+00 1.16e-06
2.472581e+02 2.186687e+04 1.000000e+04 3.16e-04 3.14e-04 2.48e-12 1.46e-09 6.92e-17 0.00e+00 1.79e-06
3.807592e+02 3.367337e+04 1.000000e+04 4.87e-04 4.84e-04 3.82e-12 2.24e-09 1.07e-16 0.00e+00 2.76e-06
5.863412e+02 5.185452e+04 1.000000e+04 7.50e-04 7.46e-04 5.88e-12 3.45e-09 1.64e-16 0.00e+00 4.25e-06
9.029224e+02 7.985215e+04 1.000000e+04 1.15e-03 1.15e-03 9.05e-12 5.32e-09 2.53e-16 0.00e+00 6.54e-06
1.390434e+03 1.229664e+05 1.000000e+04 1.78e-03 1.77e-03 1.39e-11 8.19e-09 3.89e-16 0.00e+00 1.01e-05
2.141167e+03 1.893593e+05 1.000000e+04 2.74e-03 2.72e-03 2.15e-11 1.26e-08 5.99e-16 0.00e+00 1.55e-05
3.297239e+03 2.915994e+05 1.000000e+04 4.22e-03 4.19e-03 3.30e-11 1.94e-08 9.23e-16 0.00e+00 2.39e-05
5.077506e+03 4.490417e+05 1.000000e+04 6.49e-03 6.46e-03 5.09e-11 2.99e-08 1.42e-15 0.00e+00 3.68e-05
7.818986e+03 6.914912e+05 1.000000e+04 1.00e-02 9.94e-03 7.84e-11 4.61e-08 2.19e-15 0.00e+00 5.66e-05
1.204066e+04 1.064846e+06 1.000000e+04 1.54e-02 1.53e-02 1.21e-10 7.09e-08 3.37e-15 0.00e+00 8.72e-05
1.854174e+04 1.639784e+06 1.000000e+04 2.37e-02 2.36e-02 1.86e-10 1.09e-07 5.19e-15 0.00e+00 1.34e-04
2.855291e+04 2.525147e+06 1.000000e+04 3.65e-02 3.63e-02 2.86e-10 1.68e-07 7.99e-15 0.00e+00 2.07e-04
4.396939e+04 3.888541e+06 1.000000e+04 5.62e-02 5.59e-02 4.41e-10 2.59e-07 1.23e-14 0.00e+00 3.18e-04
6.770963e+04 5.988067e+06 1.000000e+04 8.66e-02 8.61e-02 6.79e-10 3.99e-07 1.89e-14 0.00e+00 4.90e-04
1.042679e+05 9.221183e+06 1.000000e+04 1.33e-01 1.33e-01 1.05e-09 6.14e-07 2.92e-14 0.00e+00 7.55e-04
