U xi T_e I1 I2 I3 I4 I5 I6 I7 I8 I9 I10 I11 I12 I13 I14 I15 I16 I17 I18 I19 I20 I21 I22 I23 I24 I25 I26 I27
1.042679e-04 9.221183e-03 1.000000e+04 1.59e-02 3.83e-02 2.10e-01 5.06e-01 2.09e-01 2.07e-02 6.40e-04 1.20e-06 1.01e-10 1.04e-14 3.85e-19 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.605648e-04 1.419994e-02 1.000000e+04 1.45e-02 2.72e-02 1.42e-01 4.79e-01 2.93e-01 4.30e-02 1.97e-03 5.50e-06 6.87e-10 1.05e-13 5.80e-18 1.42e-22 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
2.472581e-04 2.186687e-02 1.000000e+04 1.27e-02 1.99e-02 8.89e-02 4.13e-01 3.77e-01 8.34e-02 5.77e-03 2.42e-05 4.57e-09 1.05e-12 8.77e-17 3.24e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
3.807592e-04 3.367337e-02 1.000000e+04 1.05e-02 1.47e-02 5.18e-02 3.18e-01 4.40e-01 1.49e-01 1.59e-02 1.03e-04 2.98e-08 1.06e-11 1.36e-15 7.72e-20 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
5.863412e-04 5.185452e-02 1.000000e+04 8.35e-03 1.10e-02 2.97e-02 2.20e-01 4.56e-01 2.36e-01 3.86e-02 3.85e-04 1.72e-07 9.39e-11 1.86e-14 1.63e-18 5.25e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
9.029224e-04 7.985215e-02 1.000000e+04 6.57e-03 8.39e-03 1.79e-02 1.41e-01 4.20e-01 3.25e-01 8.00e-02 1.20e-03 8.11e-07 6.68e-10 1.99e-13 2.64e-17 1.28e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
1.390434e-03 1.229664e-01 1.000000e+04 5.15e-03 6.46e-03 1.15e-02 8.23e-02 3.43e-01 3.98e-01 1.50e-01 3.44e-03 3.55e-06 4.47e-09 2.04e-12 4.13e-16 3.08e-20 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
2.141167e-03 1.893593e-01 1.000000e+04 4.12e-03 5.11e-03 8.13e-03 4.64e-02 2.50e-01 4.31e-01 2.47e-01 8.67e-03 1.37e-05 2.65e-08 1.85e-11 5.74e-15 6.56e-19 7.30e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
3.297239e-03 2.915994e-01 1.000000e+04 3.41e-03 4.20e-03 6.32e-03 2.75e-02 1.68e-01 4.16e-01 3.56e-01 1.89e-02 4.49e-05 1.31e-07 1.38e-10 6.44e-14 1.11e-17 1.86e-21 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
5.077506e-03 4.490417e-01 1.000000e+04 2.86e-03 3.50e-03 5.14e-03 1.75e-02 1.04e-01 3.61e-01 4.68e-01 3.79e-02 1.39e-04 6.18e-07 1.00e-09 7.16e-13 1.89e-16 4.86e-20 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23 3.09e-23
