U I1 I2 I3 I4 I5 I6 I7
-2.4 1.02e-05 1.65e-02 3.33e-01 3.47e-01 2.93e-01 1.05e-02 6.75e-05
-2.3 5.16e-06 1.05e-02 2.66e-01 3.48e-01 3.59e-01 1.62e-02 1.30e-04
-2.2 2.53e-06 6.44e-03 2.05e-01 3.37e-01 4.27e-01 2.41e-02 2.44e-04
-2.1 1.19e-06 3.82e-03 1.53e-01 3.15e-01 4.93e-01 3.50e-02 4.44e-04
-2.0 5.44e-07 2.19e-03 1.10e-01 2.85e-01 5.53e-01 4.92e-02 7.86e-04
-1.9 2.40e-07 1.22e-03 7.69e-02 2.50e-01 6.03e-01 6.75e-02 1.35e-03
-1.8 1.03e-07 6.57e-04 5.22e-02 2.13e-01 6.41e-01 9.02e-02 2.27e-03
-1.7 4.32e-08 3.46e-04 3.46e-02 1.78e-01 6.66e-01 1.18e-01 3.73e-03
-1.6 1.77e-08 1.78e-04 2.23e-02 1.44e-01 6.77e-01 1.51e-01 6.00e-03
-1.5 7.05e-09 8.92e-05 1.41e-02 1.15e-01 6.73e-01 1.88e-01 9.45e-03
-1.4 2.75e-09 4.39e-05 8.73e-03 8.92e-02 6.56e-01 2.31e-01 1.46e-02
-1.3 1.05e-09 2.11e-05 5.28e-03 6.80e-02 6.27e-01 2.78e-01 2.20e-02
-1.2 3.94e-10 9.93e-06 3.13e-03 5.07e-02 5.86e-01 3.27e-01 3.27e-02
-1.1 1.44e-10 4.57e-06 1.81e-03 3.69e-02 5.37e-01 3.77e-01 4.73e-02
-1.0 5.15e-11 2.06e-06 1.03e-03 2.63e-02 4.81e-01 4.25e-01 6.71e-02
-0.9 1.80e-11 9.04e-07 5.68e-04 1.83e-02 4.21e-01 4.67e-01 9.30e-02
-0.8 6.13e-12 3.88e-07 3.06e-04 1.24e-02 3.59e-01 5.02e-01 1.26e-01
-0.7 2.04e-12 1.62e-07 1.61e-04 8.23e-03 2.99e-01 5.27e-01 1.66e-01
-0.6 6.59e-13 6.60e-08 8.27e-05 5.32e-03 2.43e-01 5.38e-01 2.14e-01
-0.5 2.08e-13 2.62e-08 4.14e-05 3.35e-03 1.92e-01 5.36e-01 2.68e-01
-0.4 6.41e-14 1.02e-08 2.02e-05 2.05e-03 1.49e-01 5.22e-01 3.28e-01
-0.3 1.93e-14 3.85e-09 9.61e-06 1.23e-03 1.12e-01 4.95e-01 3.92e-01
-0.2 5.66e-15 1.42e-09 4.47e-06 7.21e-04 8.26e-02 4.59e-01 4.57e-01
-0.1 1.63e-15 5.15e-10 2.04e-06 4.13e-04 5.96e-02 4.17e-01 5.23e-01
0.0 4.58e-16 1.83e-10 9.09e-07 2.32e-04 4.21e-02 3.71e-01 5.86e-01
0.1 1.27e-16 6.37e-11 3.99e-07 1.28e-04 2.93e-02 3.25e-01 6.46e-01
0.2 3.46e-17 2.18e-11 1.72e-07 6.98e-05 2.00e-02 2.80e-01 7.00e-01
0.3 9.31e-18 7.39e-12 7.34e-08 3.74e-05 1.35e-02 2.38e-01 7.49e-01
0.4 2.47e-18 2.47e-12 3.09e-08 1.98e-05 9.03e-03 2.00e-01 7.91e-01
0.5 6.51e-19 8.19e-13 1.29e-08 1.04e-05 5.96e-03 1.66e-01 8.28e-01
0.6 1.70e-19 2.69e-13 5.33e-09 5.42e-06 3.90e-03 1.37e-01 8.59e-01
0.7 4.40e-20 8.78e-14 2.19e-09 2.80e-06 2.54e-03 1.12e-01 8.85e-01
0.8 1.13e-20 2.84e-14 8.93e-10 1.44e-06 1.64e-03 9.12e-02 9.07e-01
0.9 2.90e-21 9.18e-15 3.62e-10 7.35e-07 1.06e-03 7.39e-02 9.25e-01
1.0 7.41e-22 2.95e-15 1.47e-10 3.74e-07 6.77e-04 5.96e-02 9.40e-01
1.1 1.89e-22 9.44e-16 5.91e-11 1.90e-07 4.33e-04 4.80e-02 9.52e-01
1.2 4.79e-23 3.02e-16 2.38e-11 9.62e-08 2.76e-04 3.85e-02 9.61e-01
1.3 1.21e-23 9.62e-17 9.54e-12 4.86e-08 1.75e-04 3.08e-02 9.69e-01
1.4 3.06e-24 3.06e-17 3.82e-12 2.45e-08 1.11e-04 2.46e-02 9.75e-01
1.5 7.74e-25 9.73e-18 1.53e-12 1.23e-08 7.06e-05 1.97e-02 9.80e-01
1.6 1.95e-25 3.09e-18 6.11e-13 6.21e-09 4.47e-05 1.57e-02 9.84e-01
1.7 4.91e-26 9.79e-19 2.44e-13 3.12e-09 2.83e-05 1.25e-02 9.87e-01
1.8 1.24e-26 3.10e-19 9.73e-14 1.57e-09 1.79e-05 9.96e-03 9.90e-01
1.9 3.11e-27 9.83e-20 3.88e-14 7.86e-10 1.13e-05 7.93e-03 9.92e-01
2.0 7.83e-28 3.11e-20 1.55e-14 3.94e-10 7.13e-06 6.31e-03 9.94e-01
2.1 1.97e-28 9.84e-21 6.16e-15 1.98e-10 4.50e-06 5.02e-03 9.95e-01
2.2 4.94e-29 3.11e-21 2.45e-15 9.91e-11 2.84e-06 3.99e-03 9.96e-01
2.3 1.24e-29 9.84e-22 9.76e-16 4.97e-11 1.79e-06 3.17e-03 9.97e-01
2.4 3.12e-30 3.11e-22 3.88e-16 2.49e-11 1.13e-06 2.52e-03 9.97e-01
2.5 7.82e-31 9.83e-23 1.55e-16 1.25e-11 7.13e-07 2.00e-03 9.98e-01
2.6 1.96e-31 3.11e-23 6.15e-17 6.24e-12 4.49e-07 1.59e-03 9.98e-01
2.7 4.93e-32 9.82e-24 2.45e-17 3.13e-12 2.83e-07 1.27e-03 9.99e-01
2.8 1.24e-32 3.10e-24 9.73e-18 1.57e-12 1.79e-07 1.01e-03 9.99e-01
2.9 3.11e-33 9.81e-25 3.87e-18 7.84e-13 1.13e-07 7.99e-04 9.99e-01
3.0 0.00e+00 3.10e-25 1.54e-18 3.93e-13 7.10e-08 6.35e-04 9.99e-01
3.1 0.00e+00 9.79e-26 6.13e-19 1.97e-13 4.48e-08 5.04e-04 9.99e-01
3.2 0.00e+00 3.10e-26 2.44e-19 9.85e-14 2.82e-08 4.00e-04 1.00e+00
3.3 0.00e+00 9.78e-27 9.70e-20 4.94e-14 1.78e-08 3.18e-04 1.00e+00
3.4 0.00e+00 3.09e-27 3.86e-20 2.47e-14 1.12e-08 2.53e-04 1.00e+00
3.5 0.00e+00 9.78e-28 1.54e-20 1.24e-14 7.08e-09 2.01e-04 1.00e+00
3.6 0.00e+00 3.09e-28 6.11e-21 6.21e-15 4.47e-09 1.59e-04 1.00e+00
3.7 0.00e+00 9.77e-29 2.43e-21 3.11e-15 2.82e-09 1.27e-04 1.00e+00
3.8 0.00e+00 3.09e-29 9.69e-22 1.56e-15 1.78e-09 1.01e-04 1.00e+00
3.9 0.00e+00 9.77e-30 3.86e-22 7.81e-16 1.12e-09 7.99e-05 1.00e+00
4.0 0.00e+00 3.09e-30 1.53e-22 3.92e-16 7.08e-10 6.35e-05 1.00e+00
4.1 0.00e+00 9.77e-31 6.11e-23 1.96e-16 4.46e-10 5.04e-05 1.00e+00
4.2 0.00e+00 3.09e-31 2.43e-23 9.83e-17 2.82e-10 4.01e-05 1.00e+00
4.3 0.00e+00 9.77e-32 9.68e-24 4.93e-17 1.78e-10 3.18e-05 1.00e+00
4.4 0.00e+00 3.09e-32 3.85e-24 2.47e-17 1.12e-10 2.53e-05 1.00e+00
4.5 0.00e+00 9.77e-33 1.53e-24 1.24e-17 7.07e-11 2.01e-05 1.00e+00
4.6 0.00e+00 3.09e-33 6.11e-25 6.20e-18 4.46e-11 1.59e-05 1.00e+00
4.7 0.00e+00 0.00e+00 2.43e-25 3.11e-18 2.82e-11 1.27e-05 1.00e+00
4.8 0.00e+00 0.00e+00 9.68e-26 1.56e-18 1.78e-11 1.01e-05 1.00e+00
4.9 0.00e+00 0.00e+00 3.85e-26 7.81e-19 1.12e-11 7.99e-06 1.00e+00
5.0 0.00e+00 0.00e+00 1.53e-26 3.91e-19 7.07e-12 6.35e-06 1.00e+00
