U I1 I2 I3 I4 I5 I6 I7 I8 I9
1.4 4.74e-29 5.32e-22 1.82e-16 5.19e-12 8.84e-09 9.82e-06 4.12e-03 1.25e-01 8.71e-01
1.5 7.72e-30 1.09e-22 4.70e-17 1.69e-12 3.62e-09 5.06e-06 2.67e-03 1.02e-01 8.95e-01
1.6 1.25e-30 2.23e-23 1.21e-17 5.46e-13 1.47e-09 2.59e-06 1.72e-03 8.30e-02 9.15e-01
1.7 2.02e-31 4.52e-24 3.08e-18 1.76e-13 5.97e-10 1.32e-06 1.11e-03 6.71e-02 9.32e-01
1.8 3.24e-32 9.15e-25 7.86e-19 5.64e-14 2.41e-10 6.73e-07 7.09e-04 5.41e-02 9.45e-01
1.9 5.20e-33 1.85e-25 2.00e-19 1.80e-14 9.72e-11 3.41e-07 4.52e-04 4.35e-02 9.56e-01
2.0 0.00e+00 3.72e-26 5.06e-20 5.76e-15 3.90e-11 1.73e-07 2.88e-04 3.48e-02 9.65e-01
2.1 0.00e+00 7.48e-27 1.28e-20 1.83e-15 1.57e-11 8.71e-08 1.83e-04 2.79e-02 9.72e-01
2.2 0.00e+00 1.50e-27 3.23e-21 5.83e-16 6.27e-12 4.39e-08 1.16e-04 2.23e-02 9.78e-01
2.3 0.00e+00 3.01e-28 8.16e-22 1.85e-16 2.51e-12 2.21e-08 7.36e-05 1.78e-02 9.82e-01
2.4 0.00e+00 6.02e-29 2.06e-22 5.89e-17 1.00e-12 1.11e-08 4.66e-05 1.42e-02 9.86e-01
2.5 0.00e+00 1.21e-29 5.18e-23 1.87e-17 4.00e-13 5.59e-09 2.95e-05 1.13e-02 9.89e-01
2.6 0.00e+00 2.41e-30 1.31e-23 5.92e-18 1.60e-13 2.81e-09 1.87e-05 8.99e-03 9.91e-01
2.7 0.00e+00 4.82e-31 3.28e-24 1.87e-18 6.37e-14 1.41e-09 1.18e-05 7.15e-03 9.93e-01
